Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
6330577E15Rik	5.16503	5.2362	5.17588	5.10824	5.10565	4.89825	4.83253	5.17886	5.1872	5.19733	5.08848	4.95283	4.93402	4.98307	5.541063056	5.841707057	6.079537716	6.065584881	5.778781722	5.658949705	6.051095931	5.623152084	5.920119465	5.870139076	5.918555449	5.888485115	5.738582609	5.830214182
9630033F20Rik	3.02956	2.92021	2.86502	2.89823	2.8099	2.74418	2.77584	3.16503	2.81533	2.79199	2.86379	2.83909	2.67807	2.88962	45.44042981	45.08749915	45.41365734	43.21261528	39.42582205	38.59512167	37.74984306	44.22896016	43.77736764	44.79981797	43.7214653	41.52561304	39.64520822	36.9286755
A230051G13Rik	1.22922	1.35497	1.2509	1.11157	0.666186	0.524317	0.877083	1.26037	1.38317	0.962051	0.926404	1.28562	0.757931	0.438707	10.46174891	10.91085836	10.33822735	9.999867561	10.10432689	9.544611603	9.193170781	10.87085905	10.48464884	10.47726329	10.01681847	9.813886938	9.441989777	9.446526256
AI314180;mKIAA0368	4.13122	4.08522	4.08612	4.07999	4.07636	4.30753	4.59886	4.11587	4.11557	4.16873	4.18529	4.05791	4.25934	4.46259	18.43007635	18.82142789	18.81134143	18.75696973	17.6300784	17.47135925	17.65538064	18.60757593	19.54924316	18.71042687	18.08954231	17.7975587	17.31898716	17.50426859
AI607873	4.11354	5.11468	6.04311	6.09286	5.64686	5.20777	5.01478	3.9706	5.18599	5.83942	5.86848	5.61676	5.46154	5.29081	19.92226559	20.54578152	22.61807752	29.40870652	35.71287611	36.68339466	35.47748846	20.59139713	20.53699771	24.17721907	30.38149815	33.5480981	35.29823177	34.45356502
AI837181;Bles03	3.23792	2.81951	3.19433	3.76021	3.78381	3.75519	3.76138	3.10975	2.55337	3.29193	3.83829	3.86884	3.80163	3.84855	5.831755911	6.033514235	5.798671319	5.591023049	5.423144348	5.226266027	5.524038073	5.836623966	5.914234301	5.865487121	5.931989837	5.710392244	5.209824195	5.056351723
AK008288;Ctnna1	4.93629	4.99824	4.95035	4.89387	4.98909	4.86996	4.67184	4.96409	4.91704	5.0226	5.06339	4.96499	4.70227	4.67526	30.15976804	32.00396134	31.46006796	28.8984067	28.65034023	30.02424781	29.20381852	32.15727844	31.58915632	29.3042795	29.55152941	30.57864565	28.76236815	28.12238023
AK011326;Pafah1b2	4.04164	3.96607	3.93083	3.93534	3.96934	3.94582	3.8694	4.09055	4.03078	3.85915	3.92416	4.09786	3.96309	3.69286	399.9012308	401.9575453	422.9802202	413.7849205	391.9703191	378.2406807	394.877514	417.6193499	419.828382	418.5309706	404.8452066	390.4271287	380.9997818	370.651107
AK017779;Marcks	5.75576	6.28677	6.4724	6.4153	6.38466	6.02809	5.71907	5.77886	6.20875	6.37477	6.32208	6.2962	6.18463	5.89676	57.17339897	57.49477466	60.49636862	64.31523731	66.29571119	71.01217015	70.60977975	60.70440469	57.6718405	57.05223126	62.24049818	68.24495444	71.88338849	72.12175588
AK032662;Specc1	2.5063	2.72187	2.58983	2.32492	2.04097	2.19953	2.41052	2.83148	3.11411	2.43808	2.03085	2.01026	2.05436	2.31479	7.846630046	7.820101318	7.366383955	7.210820782	7.533484796	7.269500364	6.970263724	7.760672732	7.791017577	7.771433644	7.38001297	7.346739208	7.264955745	6.764558757
AK049578;Cltc	5.72389	5.83154	5.75707	5.57573	5.49258	5.44696	5.41888	5.70582	5.78184	5.67865	5.51348	5.48648	5.58502	5.49536	780.8117203	764.1878332	747.6939905	750.2368977	715.4365834	741.0870758	796.0624386	747.8494302	729.5441352	762.6801412	774.2991492	729.162478	749.2296743	800.6208857
AK050838;Arih1	3.96617	3.93805	3.77516	3.64357	3.66949	3.69543	3.70683	3.80846	3.92134	3.85381	3.84623	3.71193	3.56921	3.68373	37.98798548	40.99557189	42.78151349	39.31257489	38.13414689	37.33928519	36.357418	40.30584694	41.76187734	41.02239339	37.80708995	37.17309852	38.1065012	36.98047161
AK079994;Trappc8	3.58817	3.44057	3.26163	3.24433	3.23878	3.23101	3.16686	3.41141	3.43915	3.45187	3.32357	3.20704	3.26612	3.07218	8.513724116	8.319820681	8.022289699	7.690554026	7.414124875	7.534116492	7.321875911	8.486700163	8.269064324	8.091704731	7.951302346	7.74208331	7.114205914	7.176278066
AK081796;Gns	5.53076	5.39416	5.26007	5.35598	5.57603	5.7898	5.86333	5.51634	5.33096	5.28449	5.43453	5.64468	5.76851	5.79064	356.4422752	358.894401	335.6705458	328.0280417	346.9069102	336.4374796	326.4494658	356.9337975	344.4345482	338.4431744	329.741678	339.439279	351.1433123	329.2392883
AK087295;Pik3ap1	3.81486	3.94859	4.21832	4.35397	4.32772	4.44935	4.44628	3.9025	4.0189	4.11941	4.26413	4.43625	4.50297	4.31495	9.474676028	9.801740433	10.54759238	10.9226332	11.54846107	14.21791822	16.20701569	9.50152473	9.716940875	10.15887131	10.42116224	11.71755958	14.9922666	17.5042479
AK157914;Ppp1cb	4.41709	4.54907	4.75502	4.77997	4.9644	4.9918	4.86255	4.35307	4.58059	4.80311	4.92768	5.08952	4.83101	4.73493	60.97064599	60.94522759	60.29988464	62.18542993	66.46157857	66.29057388	61.38751985	63.93496787	62.97619275	62.85483981	62.38534468	60.92957811	61.98506073	60.6463778
