Gene_Group	R1_LPS_0h	R1_LPS_01h	R1_LPS_02h	R1_LPS_04h	R1_LPS_06h	R1_LPS_09h	R1_LPS_12h	R2_LPS_0h	R2_LPS_01h	R2_LPS_02h	R2_LPS_04h	R2_LPS_06h	R2_LPS_09h	R2_LPS_12h	ML_LPS_R1_0h	ML_LPS_R1_01h	ML_LPS_R1_02h	ML_LPS_R1_04h	ML_LPS_R1_06h	ML_LPS_R1_09h	ML_LPS_R1_12h	ML_LPS_R2_0h	ML_LPS_R2_01h	ML_LPS_R2_02h	ML_LPS_R2_04h	ML_LPS_R2_06h	ML_LPS_R2_09h	ML_LPS_R2_12h	HL_LPS_R1_0h	HL_LPS_R1_01h	HL_LPS_R1_02h	HL_LPS_R1_04h	HL_LPS_R1_06h	HL_LPS_R1_09h	HL_LPS_R1_12h	HL_LPS_R2_0h	HL_LPS_R2_01h	HL_LPS_R2_02h	HL_LPS_R2_04h	HL_LPS_R2_06h	HL_LPS_R2_09h	HL_LPS_R2_12h
mUBPY;Usp8	76.65823452	53.63152573	49.71452006	40.70387439	42.59541284	53.95067807	61.83537154	65.0494522	84.66400436	66.66902793	54.1533171	55.29568723	53.86849029	59.51017738	2.84381446279	2.79073613572	2.72650499724	2.70658366823	2.59119314521	2.54754433669	2.58252146275	2.9101750536	2.75245133498	2.71882699656	2.71525879392	2.66264230418	2.68367316565	2.49103434507	1.04558408909	1.0096292226	1.07237644772	1.09915222183	1.10571404128	1.35073084391	1.54127090599	0.980468203683	1.02434857347	1.09033573833	1.0397083245	1.19384519051	1.36838223778	1.51431667411
Mtap7d1	165.5468628	140.7716056	115.2656803	77.63803929	87.94682562	97.26360059	114.9952271	173.6357921	198.7526378	116.6711072	86.93648964	98.61273027	101.006823	110.4186323	3.03575770266	3.08349166357	2.92731035982	2.86972520937	2.7353075743	2.74434752761	2.64133169378	3.03335216005	3.00306937267	2.93436780132	2.86350480293	2.83837337892	2.71736188077	2.64179660221	1.73354811316	1.80016371992	1.89099207362	1.92036866811	2.0468254748	1.9901006642	2.44127815507	1.80256704416	1.83021730636	1.89309247655	1.92112700021	1.89366843124	2.01218469241	2.45855294285
Agps	53.46431069	36.78890246	32.23630225	16.69625401	20.29758823	20.74566621	22.08603983	25.76904111	34.47350841	22.32914573	12.1676787	15.20565425	12.04993963	13.43936704	4.28180043868	4.31067660521	4.32168333423	4.12676783363	4.19166807141	4.08806257891	3.9218337413	4.32964986302	4.32168969256	4.3173152633	4.17987736715	4.20261482677	3.95745903687	3.91761977245	2.09000009436	2.17809983584	2.26526214105	2.27586436093	2.23740299817	2.51723222479	2.53444619436	2.15688223806	2.21020436728	2.22137428715	2.38862867195	2.38993117314	2.48266221905	2.68083196827
Dnajc8	166.4631221	176.4033432	145.8406645	131.2001073	165.3522713	167.6276091	154.5210771	326.3933969	252.2626268	217.0284256	261.6373702	256.7825465	252.0335258	273.4164271	4.62594895865	4.56886708447	4.58728921766	4.44932720345	4.4369980445	4.37321757225	4.19021923737	4.57163929314	4.57042669057	4.51427076868	4.48730595102	4.40173501052	4.36821607045	4.2177552757	2.38541721005	2.36502884727	2.40473135035	2.39233848955	2.45386135142	2.73513604721	2.88895898144	2.39082386223	2.32255348097	2.39320604117	2.48905877398	2.45436697042	2.68033883864	2.95787451346
Ubr4	22.38844039	28.94508807	37.41757176	59.36376963	45.78259092	41.79363761	40.97725768	35.32253312	102.7635191	46.21423872	94.33879105	75.40643109	89.91280689	67.68058931	1.64779863194	1.58851443235	1.62706280462	1.66478219976	1.59793010641	1.52400902732	1.48335168887	1.69095243433	1.61528965684	1.60829091194	1.64257512006	1.58243402334	1.46184521773	1.51755367729	0.239173192677	0.279944902789	0.418704275415	0.352540019142	0.472714088345	0.631076734624	0.659144689738	0.287996007752	0.359141238166	0.269471966437	0.449419177148	0.491170184917	0.57037997873	0.685334676199
Cd44	367.056474	646.3598437	672.2054532	513.4629291	395.633963	242.5437463	186.8143339	569.5369058	680.0286958	1086.244136	750.6096222	513.8586414	463.9573091	318.3346738	5.19835226548	5.22048885097	5.2122221125	5.02138858884	5.08114985598	4.97027751957	4.88760913028	5.21271461771	5.15072130168	5.14931287782	5.11217739465	5.14669991391	5.01685905243	4.96744990311	2.65990610507	2.69352683972	2.8947169122	3.72858122305	4.36744116454	4.73165616166	4.7538894329	2.82610362789	2.81366273108	3.10305994067	3.76530120658	4.3398337983	4.7513939213	4.67346355042
Srxn1	147.3516434	159.8329658	187.0097477	146.8476311	99.31847094	175.9396877	327.9136568	107.7620368	155.7915898	185.6211953	101.3829568	70.83073359	107.3861502	219.9220856	4.47477745417	4.49937269281	4.42060260921	4.52479628962	4.31760545739	4.27633452311	4.24661025511	4.5496965626	4.44296101357	4.47029012741	4.49074810511	4.40057977987	4.29638628885	4.15235506124	2.28685734587	2.4155776506	2.94503221656	3.40931579329	3.93789898588	4.23577636107	4.42993715991	2.2994717616	2.35302745071	2.88350522367	3.46364363229	4.05191835479	4.3248605083	4.37854169233
Kynu	16.40869721	27.09382573	26.69416807	120.950823	201.2805314	177.479973	107.1546269	16.65552749	70.86307098	27.00581905	153.6793039	205.9162897	112.9389762	87.32944101	3.70412146357	3.79071030568	3.82611704219	3.73526342735	3.66697836621	3.7030459305	3.5375345979	3.75483448149	3.82403279135	3.81226487022	3.75283979188	3.76337895959	3.64852423833	3.65850226956	1.91787439509	2.15383677697	2.36206300869	2.38878345535	2.3319883585	2.48855736766	2.50166695759	1.87150479657	2.20598182016	2.31024085101	2.25273944605	2.32561389938	2.5309672436	2.41236980832
Raly	191.1796432	137.9601945	142.520983	85.66364099	89.52489636	115.005929	104.7573673	112.0987241	111.4893891	78.27042563	66.56172885	64.11238103	65.97151682	60.85287495	5.43079420717	5.35181322025	5.39252870008	5.33435862924	5.4282886039	5.28422307851	5.29163551198	5.39535339254	5.38825685246	5.38833320014	5.31203921472	5.38854913334	5.26542517117	5.25884684081	3.27089534165	3.30653037147	3.39390838778	3.34688721492	3.31532769072	3.80380425758	4.03389952423	3.38358928613	3.28631844891	3.25345317444	3.36679615911	3.33140570454	3.80127181935	4.01426708032
Rrbp1	216.8027231	407.0328855	444.4631856	352.8398516	286.3053064	210.8644123	248.0744497	660.736884	1882.513487	599.9929799	1091.062267	756.8114094	1011.075757	831.7150048	5.81978096806	5.66982068038	5.70577370364	5.64509883182	5.64947522919	5.54324754554	5.48912684747	5.68646018171	5.59994897762	5.7195955105	5.6848649731	5.60495632434	5.5601887889	5.47867719414	3.34023758824	3.44744307105	3.51482187224	3.50438025257	3.74515803793	4.12871614419	4.36292701168	3.3387759488	3.45850613869	3.3920302879	3.46115673453	3.77798420331	4.20784039281	4.34888193653
